Row,Column,Readout,Treatment,Dose
A,1,0.417800009,MTS,0
B,1,0.411300004,MTS,0
C,1,0.418199986,MTS,0
D,1,0.431199998,MTS,0
E,1,0.416200012,MTS,0
F,1,0.419099987,MTS,0
G,1,0.413599998,MTS,0
H,1,0.401499987,MTS,0
A,2,0.407299995,MTS,0
B,2,1.554399967,TrtA,1
C,2,0.579400003,TrtB,1
D,2,1.585100055,TrtA,1
E,2,0.525300026,TrtB,1
F,2,1.497900009,TrtA,1
G,2,0.553799987,TrtB,1
H,2,0.407799989,MTS,0
A,3,0.408199996,MTS,0
B,3,1.801699996,TrtA,2
C,3,0.664600015,TrtB,2
D,3,1.916499972,TrtA,2
E,3,0.684800029,TrtB,2
F,3,1.83070004,TrtA,2
G,3,0.675199986,TrtB,2
H,3,0.402999997,MTS,0
A,4,0.397399992,MTS,0
B,4,1.804499984,TrtA,4
C,4,0.993399978,TrtB,4
D,4,1.887400031,TrtA,4
E,4,0.953100026,TrtB,4
F,4,1.998900056,TrtA,4
G,4,1.037299991,TrtB,4
H,4,0.394400001,MTS,0
A,5,0.403800011,MTS,0
B,5,1.900300026,TrtA,8
C,5,1.853099942,TrtB,8
D,5,1.963400006,TrtA,8
E,5,1.83099997,TrtB,8
F,5,2.040199995,TrtA,8
G,5,1.893599987,TrtB,8
H,5,0.3935,MTS,0
A,6,0.390399992,MTS,0
B,6,1.921499968,TrtA,16
C,6,1.91989994,TrtB,16
D,6,1.919499993,TrtA,16
E,6,1.897400022,TrtB,16
F,6,1.976899981,TrtA,16
G,6,1.904199958,TrtB,16
H,6,0.39379999,MTS,0
A,7,0.391400009,MTS,0
B,7,1.856699944,TrtA,32
C,7,2.010499954,TrtB,32
D,7,1.953799963,TrtA,32
E,7,1.882200003,TrtB,32
F,7,1.946799994,TrtA,32
G,7,1.889400005,TrtB,32
H,7,0.392399997,MTS,0
A,8,0.398600012,MTS,0
B,8,1.906499982,TrtA,64
C,8,1.813500047,TrtB,64
D,8,1.899600029,TrtA,64
E,8,1.933899999,TrtB,64
F,8,1.921300054,TrtA,64
G,8,1.838199973,TrtB,64
H,8,0.389499992,MTS,0
A,9,0.388300002,MTS,0
B,9,1.775900006,TrtA,128
C,9,1.860700011,TrtB,128
D,9,1.929100037,TrtA,128
E,9,1.854400039,TrtB,128
F,9,1.934399962,TrtA,128
G,9,1.840199947,TrtB,128
H,9,0.365200013,MTS,0
A,10,0.389800012,MTS,0
B,10,1.803200006,TrtA,256
C,10,1.897099972,TrtB,256
D,10,1.856999993,TrtA,256
E,10,1.900300026,TrtB,256
F,10,1.880399942,TrtA,256
G,10,1.914399981,TrtB,256
H,10,0.391600013,MTS,0
A,11,0.395300001,MTS,0
B,11,1.93780005,TrtA,512
C,11,2.012399912,TrtB,512
D,11,1.955299973,TrtA,512
E,11,1.975600004,TrtB,512
F,11,1.949100018,TrtA,512
G,11,1.932299972,TrtB,512
H,11,0.393299997,MTS,0
A,12,0.394899994,MTS,0
B,12,0.388399988,MTS,0
C,12,0.385399997,MTS,0
D,12,0.386299998,MTS,0
E,12,0.392699987,MTS,0
F,12,0.385399997,MTS,0
G,12,0.387600005,MTS,0
H,12,0.388200015,MTS,0
